"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"MAMATA","Mamata Machinery Limited","Trading Window","Mamata Machinery Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:32:47","2025-12-30 16:32:47","30-Dec-2025 16:32:48","00:00:01","https://nsearchives.nseindia.com/corporate/MAMATA_30122025163237_MML_TWC_Intimation_31122025__1_.pdf"
"NETWORK18","Network18 Media & Investments Limited","Trading Window","Network18 Media & Investments Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:32:44","2025-12-30 16:32:44","30-Dec-2025 16:32:45","00:00:01","https://nsearchives.nseindia.com/corporate/Shambhu_30122025163012_NW18_Closure_of_Trading_Window_Dec_2025.pdf"
"SMARTLINK","Smartlink Holdings Limited","Trading Window","Smartlink Holdings Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:29:34","2025-12-30 16:29:34","30-Dec-2025 16:29:36","00:00:02","https://nsearchives.nseindia.com/corporate/SMARTLINK_30122025162913_Trading_Window_Closure_intimation_31122025.pdf"
"LUPIN","Lupin Limited","General Updates","Lupin Limited has informed the Exchange about an update on acquisition of VISUfarma B.V., the Netherlands.","30-Dec-2025 16:28:47","2025-12-30 16:28:47","30-Dec-2025 16:28:48","00:00:01","https://nsearchives.nseindia.com/corporate/Lupin2_30122025161813_SEintimation_Updates_Visufarma.pdf"
"POLICYBZR","PB Fintech Limited","Trading Window","PB Fintech Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:28:20","2025-12-30 16:28:20","30-Dec-2025 16:28:21","00:00:01","https://nsearchives.nseindia.com/corporate/POLICYBZR_30122025162804_ClosureofTradingWindowPOLICYBZRQ3FY26.pdf"
"FINOPB","Fino Payments Bank Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Fino Payments Bank Limited has informed the Exchange about Schedule of meet","30-Dec-2025 16:27:37","2025-12-30 16:27:37","30-Dec-2025 16:27:38","00:00:01","https://nsearchives.nseindia.com/corporate/FINOPB_30122025162700_IM_Oneup.pdf"
"AAATECH","Aaa Technologies Limited","Public Announcement-Open Offer","Mark Corporate Advisors Private Ltd has submitted to  the Exchange a copy of Public Announcement under Regulations 3(1) and 4 Read with Regulations 13(1), 14 and 15(1) of the securities and Exchange Board of India (SAST) Regulations, 2011 and Subsequent amendments thereto for the attention of the public shareholders of the company.","30-Dec-2025 16:27:26","2025-12-30 16:27:26","30-Dec-2025 16:27:28","00:00:02","https://nsearchives.nseindia.com/corporate/team_bbodade_30122025162449_30122025143429_AAATECH1.zip"
"HFCL","HFCL Limited","Trading Window","HFCL Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:26:55","2025-12-30 16:26:55","30-Dec-2025 16:26:56","00:00:01","https://nsearchives.nseindia.com/corporate/AHMED_30122025162634_HFCL_STX_ClosureTradingWindow_30122025.pdf"
"ANMOL","Anmol India Limited","Trading Window","Anmol India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:23:50","2025-12-30 16:23:50","30-Dec-2025 16:23:51","00:00:01","https://nsearchives.nseindia.com/corporate/ANMOL_30122025162324_Closure_of_Trading_Window_30122025_S.pdf"
"ZODIACLOTH","Zodiac Clothing Company Limited","Trading Window","Zodiac Clothing Company Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:23:08","2025-12-30 16:23:08","30-Dec-2025 16:23:09","00:00:01","https://nsearchives.nseindia.com/corporate/ZODIACLOTH_30122025162246_TradingWindowclosure31122025Sd.pdf"
