"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"UTKARSHBNK","Utkarsh Small Finance Bank Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","UTKARSH SMALL FINANCE BANK LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","01-Jul-2025 14:52:48","2025-07-01 14:52:48","01-Jul-2025 14:52:49","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CIM_58758_1475620_01072025025247_WEB.xml","9 KB"
"LTIM","LTIMindtree Limited","General Updates","LTIMindtree Limited has informed the Exchange about ESG Rating","01-Jul-2025 14:51:56","2025-07-01 14:51:56","01-Jul-2025 14:51:56","00:00:00","https://nsearchives.nseindia.com/corporate/LTI_01072025145108_IntimationSEsigned.pdf","574 KB"
"UTKARSHBNK","Utkarsh Small Finance Bank Limited","Change in Director(s)","Utkarsh Small Finance Bank Limited has informed the Exchange regarding Change in Director(s) of the company.","01-Jul-2025 14:50:45","2025-07-01 14:50:45","01-Jul-2025 14:50:46","00:00:01","https://nsearchives.nseindia.com/corporate/UTKARSHBANK_01072025144950_Intimation.pdf","378 KB"
"ATHERENERG","Ather Energy Limited","Updates","Ather Energy Limited has informed the Exchange regarding 'Press release titled  Ather Energy introduces the Rizta S with a 3.7kWh battery pack, offering an IDC range of 159 km. '.","01-Jul-2025 14:50:24","2025-07-01 14:50:24","01-Jul-2025 14:50:26","00:00:02","https://nsearchives.nseindia.com/corporate/ATHERENERGY_01072025144902_PressReleaseJuly012025toupload.pdf","356 KB"
"E2E","E2E Networks Limited","Appointment","E2E Networks Limited has informed the Exchange regarding Appointment of Mr Bakshish Dutta  as Senior Management Personnel (SMP) and designate him Chief Business Officer w.e.f. July 01, 2025.","01-Jul-2025 14:50:13","2025-07-01 14:50:13","01-Jul-2025 14:50:14","00:00:01","https://nsearchives.nseindia.com/corporate/E2E_01072025144955_Intimation_for_Appointment_-_Bakshish_Dutta__1_.pdf","290 KB"
"SHRENIK","Shrenik Limited","Outcome of Board Meeting","Shrenik Limited has informed the Exchange regarding  Board meeting held on July 01, 2025","01-Jul-2025 14:49:22","2025-07-01 14:49:22","01-Jul-2025 14:49:23","00:00:01","https://nsearchives.nseindia.com/corporate/SHRENIK_01072025144905_Shrenik_outcome_signed.pdf","213 KB"
"GHCLTEXTIL","GHCL Textiles Limited","Credit Rating","Ghcl Textiles Limited has informed the Exchange about Credit Rating","01-Jul-2025 14:47:20","2025-07-01 14:47:20","01-Jul-2025 14:47:21","00:00:01","https://nsearchives.nseindia.com/corporate/GHCLTEXTILES_01072025144704_GHCL_Textiles_SE_Disclosure_Credit_Rating_01072025.pdf","570 KB"
"LOKESHMACH","Lokesh Machines Limited","Alteration Of Capital and Fund Raising-XBRL","Lokesh Machines Limited has informed the Exchange regarding Allotment of Securities","01-Jul-2025 14:47:20","2025-07-01 14:47:20","01-Jul-2025 14:47:21","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1475613_01072025024720_WEB.xml","5 KB"
"VSTIND","VST Industries Limited","Copy of Newspaper Publication","VST Industries Limited has informed the Exchange about Copy of Newspaper Publication","01-Jul-2025 14:47:08","2025-07-01 14:47:08","01-Jul-2025 14:47:09","00:00:01","https://nsearchives.nseindia.com/corporate/VSTIND_01072025144621_AGMNoticePublication.pdf","6.62 MB"
"DHANUKA","Dhanuka Agritech Limited","Copy of Newspaper Publication","Dhanuka Agritech Limited has informed the Exchange about Copy of Newspaper Publication","01-Jul-2025 14:45:29","2025-07-01 14:45:29","01-Jul-2025 14:45:30","00:00:01","https://nsearchives.nseindia.com/corporate/DHANUKA_01072025144517_Newspaperpublication.pdf","2.24 MB"
