Date,Open,High,Low,Close
12/25/2025 21:20,87937.9,87986,87881,87894
12/25/2025 21:15,87912.2,88003,87870,87885.7
12/25/2025 21:10,87918.9,88000,87847.7,87912.2
12/25/2025 21:05,87887.5,87935,87762,87847.7
12/25/2025 21:00,87877.5,87918,87790,87908
12/25/2025 20:55,87821.8,87920,87799,87833.1
12/25/2025 20:50,87821.8,87908,87806,87821.8
12/25/2025 20:45,87743,87904,87743,87821.8
12/25/2025 20:40,87821.1,87844,87736.6,87798.7
12/25/2025 20:35,87747.2,87848,87700,87816.6
12/25/2025 20:30,87683,87822,87644,87738
12/25/2025 20:25,88029,88031,87599,87683
12/25/2025 20:20,88067,88081,87950,87965.1
12/25/2025 20:15,88091.9,88142,87995,88043.9
12/25/2025 20:10,88047.6,88137,88041,88091.8
12/25/2025 20:05,88101,88125,88025.2,88110.5
12/25/2025 20:00,88087.9,88180,88004,88030.8
12/25/2025 19:55,88097.5,88169,88086,88086
12/25/2025 19:50,88135,88172,88048,88086
12/25/2025 19:45,88088.8,88134,88043,88056.2
12/25/2025 19:40,88060.6,88165,88031,88083
12/25/2025 19:35,88047.1,88130,88034,88046
12/25/2025 19:30,88103.7,88125,88011,88115
12/25/2025 19:25,88016,88141,88016,88046
12/25/2025 19:20,88125,88154,88012,88100
12/25/2025 19:15,88128,88198,88037,88124
12/25/2025 19:10,88155.2,88205,88105,88179.1
12/25/2025 19:05,88196.7,88216,88106,88167
12/25/2025 19:00,88245,88257,88139,88184.1
12/25/2025 18:55,88196.3,88252,88178,88178.5
12/25/2025 18:50,88272,88300,88185,88185
12/25/2025 18:45,88228,88303,88177.9,88210.1
12/25/2025 18:40,88141.5,88320,88134.2,88214.6
12/25/2025 18:35,88177,88211,88093,88195
12/25/2025 18:30,88174.9,88268,88111,88125.3
12/25/2025 18:25,88215.3,88250,88161,88174.9
12/25/2025 18:20,88244,88262,88170,88175
12/25/2025 18:15,88243.7,88309,88177,88243
12/25/2025 18:10,88230.7,88325,88211,88248
12/25/2025 18:05,88217.6,88329,88179.7,88269.8
12/25/2025 18:00,88081.3,88281,88069,88228.4
12/25/2025 17:55,88184,88195,88069,88081.3
12/25/2025 17:50,88145.2,88218,88076.9,88184
12/25/2025 17:45,87995,88168,87976.3,88087.2
12/25/2025 17:40,88043,88078,87977,88002.5
12/25/2025 17:35,87980.9,88097,87977,88017.8
12/25/2025 17:30,88000,88065,87961,87980.9
12/25/2025 17:25,88144,88149,87977,88017.5
12/25/2025 17:20,88018.3,88175,88018.3,88070.6
12/25/2025 17:15,87972,88103,87965,88018.3
12/25/2025 17:10,88090.2,88190,87964,88040
12/25/2025 17:05,88002.7,88163,88002,88144.4
12/25/2025 17:00,88055.6,88146,87945,88002.7
12/25/2025 16:55,88028,88140,88016,88059.9
12/25/2025 16:50,88212,88216,87945,88028
12/25/2025 16:45,88260,88338,88124,88204
12/25/2025 16:40,88210.5,88360,88165,88257.5
12/25/2025 16:35,88276,88370,88121.5,88240
12/25/2025 16:30,88429,88478,88264,88276
12/25/2025 16:25,88441,88488,88347.7,88428
12/25/2025 16:20,88355.9,88452,88280,88441
12/25/2025 16:15,88232.8,88450,88232.8,88312.7
12/25/2025 16:10,88114,88331,88108,88238
12/25/2025 16:05,88220,88344,88108,88108
12/25/2025 16:00,88367.3,88447,88209,88220
12/25/2025 15:55,88357.7,88432,88230,88277
12/25/2025 15:50,88331.1,88562.4,88331.1,88357.7
12/25/2025 15:45,88525,88589,88304,88331.1
12/25/2025 15:40,88042.1,88561,87996.4,88455.6
12/25/2025 15:35,87972,88097,87892,87996.4
12/25/2025 15:30,88016,88142,87934,87934
12/25/2025 15:25,87793.1,88232,87783,88050.9
12/25/2025 15:20,87749,87903,87749,87865
12/25/2025 15:15,87717,87842,87698,87814.5
12/25/2025 15:10,87752,87813,87680,87768.3
12/25/2025 15:05,87691.6,87807,87669,87751
12/25/2025 15:00,87658,87839,87658,87746
12/25/2025 14:55,87663.2,87746,87657,87667.4
12/25/2025 14:50,87721.7,87775,87655,87737
12/25/2025 14:45,87558,87774,87558,87679
12/25/2025 14:40,87572,87656,87527,87573.8
12/25/2025 14:35,87573,87662,87516,87572.2
12/25/2025 14:30,87514.7,87676,87511,87626.4
12/25/2025 14:25,87653,87654,87492,87514.7
12/25/2025 14:20,87603.1,87667,87560,87564.7
12/25/2025 14:15,87681.5,87742,87558.5,87634
12/25/2025 14:10,87613.3,87741,87613.3,87716
12/25/2025 14:05,87574,87713,87574,87617
12/25/2025 14:00,87573,87676,87564,87662
12/25/2025 13:55,87637.8,87680,87573,87612.4
12/25/2025 13:50,87547.1,87695,87540,87637.8
12/25/2025 13:45,87625,87692,87507,87622
12/25/2025 13:40,87425.7,87644,87425.7,87606.8
12/25/2025 13:35,87405.2,87516,87405.2,87514
12/25/2025 13:30,87433.9,87527,87405.2,87453.5
12/25/2025 13:25,87477,87532,87394,87523
12/25/2025 13:20,87435,87482,87353,87456.7
12/25/2025 13:15,87463,87549,87350,87362
12/25/2025 13:10,87467.9,87551,87435,87467
12/25/2025 13:05,87478,87548,87435,87435
12/25/2025 13:00,87488,87590,87476,87478
12/25/2025 12:55,87487,87596,87470.1,87558.9
12/25/2025 12:50,87532.1,87573,87467,87520.1
12/25/2025 12:45,87470.2,87558,87453,87531.6
12/25/2025 12:40,87485,87547,87442,87470.2
12/25/2025 12:35,87585.5,87606,87485,87512.5
12/25/2025 12:30,87507,87615,87497.8,87585
12/25/2025 12:25,87562,87608,87440,87497.8
12/25/2025 12:20,87508.6,87578,87451.1,87531.4
