SYMBOL,COMPANY NAME,ATTACHMENT,SUBJECT,DETAILS,BROADCAST DATE/TIME
ZENSARTECH.NS,Zensar Technologies Ltd,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS,Intimation about the allotment of equity shares by the Nomination and Remuneration Committee of the Company.,24-06-2025 22:36:12,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b079f110-ec8e-41f1-8a68-991b93112a7f.pdf
501945,Dhenu Buildcon Infra Ltd,Closure of Trading Window,"The Exchange and Investors are hereby informed that Trading Window for Promoters and Designated Persons will be closed Effective from July 01, 2025 up to 48 Hours after declaration of Un-Audited .... Read More..",24-06-2025 22:36:02,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c2a03ec5-0701-49de-a0cf-71e5479ba132.pdf
TINNARUBR.NS,Tinna Rubber and Infrastructure Ltd,Announcement under Regulation 30 (LODR)-Qualified Institutional Placement,"Outcome of the Fund Raising Committee meeting held on today i.e. June 24, 2025 inter alia to consider and approve the opening of QIP and other related matters",24-06-2025 22:35:02,https://www.bseindia.com/xml-data/corpfiling/AttachLive/83dc8cf8-c4ba-4e67-ad42-fec3927a100b.pdf
543598,Shantidoot Infra Services Ltd,Shifting Of Registered Office,"we hereby inform you that a meeting of the board of directors of the company will be held on Friday, 27th June 2025 to inter alia to approve shifting of registered office form ""House no .... Read More..",24-06-2025 22:19:08,https://www.bseindia.com/xml-data/corpfiling/AttachLive/96017e90-59dd-41f6-9d1f-8e862a89dda2.pdf
543598,Shantidoot Infra Services Ltd,Correct The Clerical Error While Passing Earlier Resolution Dated 26.03.2025 For Shift Of Registered Office,We hearby inform you that a meeting of the board of directors of the company will be held on Friday 27th June 2025 to inter alia to correct the clerical error while passing earlier resolution .... Read More..,24-06-2025 22:10:07,https://www.bseindia.com/xml-data/corpfiling/AttachLive/96ed8bda-99a3-4f3c-a617-af0493317392.pdf
LATENTVIEW.NS,Latent View Analytics Ltd,Intimation,"Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, please be informed on the schedule of Analysts /Institutional Investors meeting with the Company. Read More..",24-06-2025 22:00:09,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c503c8f6-7ad4-4cae-8b45-9caaaa339e33.pdf
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd,Announcement under Regulation 30 (LODR)-Amendments to Memorandum & Articles of Association,Amendments in Articles of Association of the Company.,24-06-2025 21:59:53,https://www.bseindia.com/xml-data/corpfiling/AttachLive/6ba62e2d-fbf7-4406-a749-70217f8dd09c.pdf
132921,Unknown,Announcement under Regulation 30 (LODR)-Amendments to Memorandum & Articles of Association,Amendments in Articles of Association of the Company.,24-06-2025 21:59:53,https://www.bseindia.com/xml-data/corpfiling/AttachLive/6ba62e2d-fbf7-4406-a749-70217f8dd09c.pdf
543217,Mindspace Business Parks REIT,Reg 23(5)(i): Disclosure of material issue,Mindspace Business Parks REIT has informed the Exchange regarding Disclosure of material issue,24-06-2025 21:59:44,https://www.bseindia.com/xml-data/corpfiling/AttachLive/56ef1c56-4c30-455f-b737-289b57d16467.pdf
543598,Shantidoot Infra Services Ltd,Appointment of Company Secretary and Compliance Officer,We hearby inform you that a meeting of the board of directors of the company will be held on 27th of July 2025 to inter alia to appoint company secretary and compliance officer of the company .... Read More..,24-06-2025 21:57:03,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1d673d96-3927-46b6-9740-3656e8742d20.pdf
INDOSTAR.NS,Indostar Capital Finance Ltd,"Intimation Under Regulation 30 Of The Securities And Exchange Board Of India (Listing Obligations And Disclosure Requirements) Regulations, 2015",Company and its Subsidiary Niwas Housing Finance Private Limited (NHFPL) have completed the conditions precedents for sale of share of the Company in NHFPL to Witkopeend B.V.,24-06-2025 21:56:28,https://www.bseindia.com/xml-data/corpfiling/AttachLive/24967534-2db9-4fb4-92d6-79a92669e835.pdf
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd,Shareholder Meeting / Postal Ballot-Outcome of AGM,Proceedings of the 26th Annual General Meeting,24-06-2025 21:55:19,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2632f659-a014-486a-b2b0-5a591dcb592b.pdf
132921,Unknown,Shareholder Meeting / Postal Ballot-Outcome of AGM,Proceedings of the 26th Annual General Meeting,24-06-2025 21:55:19,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2632f659-a014-486a-b2b0-5a591dcb592b.pdf
538772,Niyogin Fintech Ltd,Announcement under Regulation 30 (LODR)-Credit Rating,Please find enclosed,24-06-2025 21:55:16,https://www.bseindia.com/xml-data/corpfiling/AttachLive/95cf9c85-7589-491e-98f8-603797212a60.pdf
MIRCELECTR.NS,Mirc Electronics Ltd,Revised Record Date For Rights Issue Is 30.06.2025,Revised Record Date for Rights Issue is 30.06.2025,24-06-2025 21:54:22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2cea187c-944a-4d75-82d4-a7076f8a50bd.pdf
NAVKARCORP.NS,Navkar Corporation Ltd,Announcement under Regulation 30 (LODR)-Credit Rating,As per attached enclosure,24-06-2025 21:53:35,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a9c36a2e-5c5b-452e-b767-63ad92462eb0.pdf
540565,IndiGrid Infrastructure Trust,Reg 23(5)(i): Disclosure of material issue,Indigrid Infrastructure Trust has informed the Exchange regarding Disclosure of material issue,24-06-2025 21:53:31,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a90310c6-8333-4cff-bc78-9df6a4153ad3.pdf
512020,Saraswati Commercial India Ltd,Announcement under Regulation 30 (LODR)-Acquisition,"Intimation under Regulation 30 read with Schedule III Part A Para A(1) of SEBI LODR Regulations, 2015- Acquisition",24-06-2025 21:50:37,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e33b03b4-b3dd-49c7-98f6-fc145f1be4e9.pdf
543598,Shantidoot Infra Services Ltd,Board Meeting Intimation for Prior Intimation Of Baord Meeting For Consideration Of Financial Result,"Shantidoot Infra Services Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 27/06/2025 ,inter alia, to consider and approve we hereby inform .... Read More..",24-06-2025 21:49:56,https://www.bseindia.com/xml-data/corpfiling/AttachLive/75b0489f-d8f5-4d46-b619-686636cf08e8.pdf
530313,Kimia Biosciences Ltd,Reg. 34 (1) Annual Report.,"Pursuant to Regulation 34 of SEBI(LODR)Regulations 2015,Submission of Annual Report for the financial Year 2023-2024 along with the Notice of 31st Annual General Meeting scheduled to be .... Read More..",24-06-2025 21:48:43,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2f62611a-335f-40b5-bcb1-a310ca27712c.pdf
MIRCELECTR.NS,Mirc Electronics Ltd,Board Meeting Outcome for Outcome Of Rights Issue Committee Meeting,Outcome of Rights Issue Committee meeting,24-06-2025 21:43:28,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a925eb9b-f50d-4643-9b72-dad87d200c0b.pdf
SCODATUBES.NS,Scoda Tubes Ltd,Announcement under Regulation 30 (LODR)-Investor Presentation,"Investor presentation on Q4FY25/FY25 Earnings for the Audited Financial Results of the company for the quarter and financial year ended on 31st March, 2025.",24-06-2025 21:42:58,https://www.bseindia.com/xml-data/corpfiling/AttachLive/87a3dabd-3490-4d46-aab6-657c6a7bff33.pdf
MIRCELECTR.NS,Mirc Electronics Ltd,Letter Of Offer,Letter of Offer,24-06-2025 21:39:41,https://www.bseindia.com/xml-data/corpfiling/AttachLive/14bb4a79-81e6-45ce-8236-8bb4d346967d.pdf
IIFL.NS,IIFL Finance Ltd,Business Responsibility and Sustainability Reporting (BRSR),IIFL Finance Limited informs the exchanges regarding Business Responsibility and Sustainability Reports for the Financial Year 2024-25.,24-06-2025 21:35:45,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d6e3333f-9a61-4423-a5f9-51ec9892eebf.pdf
132636,Unknown,Business Responsibility and Sustainability Reporting (BRSR),IIFL Finance Limited informs the exchanges regarding Business Responsibility and Sustainability Reports for the Financial Year 2024-25.,24-06-2025 21:35:44,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d6e3333f-9a61-4423-a5f9-51ec9892eebf.pdf
543899,Cube Highways Trust,Reg 23(5)(i): Disclosure of material issue,Cube Highways Trust has informed the Exchange regarding Disclosure of material issue,24-06-2025 21:33:11,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5b8f7864-4be2-4893-a5cd-086768e53e11.pdf
IIFL.NS,IIFL Finance Ltd,Reg. 34 (1) Annual Report.,IIFL Finance Limited has informed exchanges regarding Annual Report for FY 2024-25 alongwith Notice of the AGM.,24-06-2025 21:31:18,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f3d9810e-8da2-4fa0-a8f3-410af89c049d.pdf
132636,Unknown,Reg. 34 (1) Annual Report.,IIFL Finance Limited has informed exchanges regarding Annual Report for FY 2024-25 alongwith Notice of the AGM.,24-06-2025 21:31:18,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f3d9810e-8da2-4fa0-a8f3-410af89c049d.pdf
RITES.NS,RITES Ltd,Announcement under Regulation 30 (LODR)-Award_of_Order_Receipt_of_Order,Update on major order received from Gujarat Urban Development Company Limited,24-06-2025 21:25:45,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7ad9556f-5385-46e1-acdb-dab705014c49.pdf
