SYMBOL,,FinInstrmId,bse_code,nse_symbol,,
ARVEE,"""ARVEE.NS"",",500300,500402,SPMLINFRA.NS,,""""","
ARVIND,"""ARVIND.NS"",",500302,500403,SUNDRMFAST.NS,,""""","
ARVINDFASN,"""ARVINDFASN.NS"",",500304,500404,SUNFLAG.NS,,""""","
ARVSMART,"""ARVSMART.NS"",",500306,500405,SPLPETRO.NS,500306,"""500306"","
ASAHIINDIA,"""ASAHIINDIA.NS"",",500307,500407,SWARAJENG.NS,500307,"""500307"","
ASAHISONG,"""ASAHISONG.NS"",",500312,500408,TATAELXSI.NS,,""""","
ASAL,"""ASAL.NS"",",500313,500410,ACC.NS,,""""","
ASALCBR,"""ASALCBR.NS"",",500314,500411,THERMAX.NS,,""""","
ASHAPURMIN,"""ASHAPURMIN.NS"",",500317,500412,TIRUMALCHM.NS,,""""","
ASHIANA,"""ASHIANA.NS"",",500319,500413,THOMASCOOK.NS,500319,"""500319"","
ASHIMASYN,"""ASHIMASYN.NS"",",500322,500418,TOKYOPLAST.NS,500322,"""500322"","
ASHOKA,"""ASHOKA.NS"",",500325,500420,TORNTPHARM.NS,,""""","
ASHOKAMET,"""ASHOKAMET.NS"",",500327,500425,AMBUJACEM.NS,,""""","
ASHOKLEY,"""ASHOKLEY.NS"",",500330,500429,UNIENTER.NS,,""""","
ASIANENE,"""ASIANENE.NS"",",500331,500439,VHL.NS,,""""","
ASIANHOTNR,"""ASIANHOTNR.NS"",",500333,500440,HINDALCO.NS,,""""","
ASIANPAINT,"""ASIANPAINT.NS"",",500335,500444,WSTCSTPAPR.NS,,""""","
ASIANTILES,"""ASIANTILES.NS"",",500336,500456,PASUPTAC.NS,,""""","
ASKAUTOLTD,"""ASKAUTOLTD.NS"",",500337,500459,PGHH.NS,,""""","
ASMS,"""ASMS.NS"",",500338,500460,MUKANDLTD.NS,,""""","
ASPINWALL,"""ASPINWALL.NS"",",500339,500463,BBOX.NS,,""""","
ASTEC,"""ASTEC.NS"",",500342,500464,UCAL.NS,,""""","
ASTERDM,"""ASTERDM.NS"",",500343,500467,HARRMALAYA.NS,,""""","
ASTRAL,"""ASTRAL.NS"",",500346,500469,FEDERALBNK.NS,500346,"""500346"","
ASTRAMICRO,"""ASTRAMICRO.NS"",",500350,500470,TATASTEEL.NS,,""""","
ASTRAZEN,"""ASTRAZEN.NS"",",500354,500472,SKFINDIA.NS,,""""","
ASTRON,"""ASTRON.NS"",",500355,500477,ASHOKLEY.NS,,""""","
ATALREAL,"""ATALREAL.NS"",",500356,500480,CUMMINSIND.NS,,""""","
ATAM,"""ATAM.NS"",",500357,500483,TATACOMM.NS,500357,"""500357"","
ATGL,"""ATGL.NS"",",500358,500488,ABBOTINDIA.NS,500358,"""500358"","
ATHERENERG,"""ATHERENERG.NS"",",500360,500490,BAJAJHLDNG.NS,500360,"""500360"","
ATL,"""ATL.NS"",",500365,500493,BHARATFORG.NS,500365,"""500365"","
ATLANTAA,"""ATLANTAA.NS"",",500366,500495,ESCORTS.NS,500366,"""500366"","
ATLASCYCLE,"""ATLASCYCLE.NS"",",500367,500500,HINDMOTORS.NS,,""""","
ATUL,"""ATUL.NS"",",500368,500510,LT.NS,,""""","
ATULAUTO,"""ATULAUTO.NS"",",500370,500520,M&M.NS,500370,"""500370"","
AUBANK,"""AUBANK.NS"",",500378,500530,BOSCHLTD.NS,,""""","
AURIONPRO,"""AURIONPRO.NS"",",500380,500540,PREMIER.NS,,""""","
AUROPHARMA,"""AUROPHARMA.NS"",",500387,500547,BPCL.NS,,""""","
AURUM,"""AURUM.NS"",",500389,500550,SIEMENS.NS,500389,"""500389"","
AUSOMENT,"""AUSOMENT.NS"",",500390,500570,TATAMOTORS.NS,,""""","
AUTOAXLES,"""AUTOAXLES.NS"",",500400,500575,VOLTAS.NS,,""""","
AUTOIND,"""AUTOIND.NS"",",500402,500620,GESHIP.NS,,""""","
AVADHSUGAR,"""AVADHSUGAR.NS"",",500403,500645,DEEPAKFERT.NS,,""""","
AVALON,"""AVALON.NS"",",500404,500650,EXCELINDUS.NS,,""""","
AVANTEL,"""AVANTEL.NS"",",500405,500655,GRWRHITECH.NS,,""""","
AVANTIFEED,"""AVANTIFEED.NS"",",500407,500660,GLAXO.NS,,""""","
AVG,"""AVG.NS"",",500408,500670,GNFC.NS,,""""","
AVL,"""AVL.NS"",",500410,500674,SANOFI.NS,,""""","
AVONMORE,"""AVONMORE.NS"",",500411,500680,PFIZER.NS,,""""","
AVROIND,"""AVROIND.NS"",",500412,500690,GSFC.NS,,""""","
AVTNPL,"""AVTNPL.NS"",",500413,500696,HINDUNILVR.NS,,""""","
AWFIS,"""AWFIS.NS"",",500414,500710,AKZOINDIA.NS,500414,"""500414"","
AWHCL,"""AWHCL.NS"",",500418,500730,NOCIL.NS,,""""","
AWL,"""AWL.NS"",",500420,500770,TATACHEM.NS,,""""","
AXISBANK,"""AXISBANK.NS"",",500421,500777,TNPETRO.NS,500421,"""500421"","
AXISCADES,"""AXISCADES.NS"",",500422,500780,ZUARIIND.NS,500422,"""500422"","
AXITA,"""AXITA.NS"",",500425,500790,NESTLEIND.NS,,""""","
AYMSYNTEX,"""AYMSYNTEX.NS"",",500426,500800,TATACONSUM.NS,500426,"""500426"","
AZAD,"""AZAD.NS"",",500429,500820,ASIANPAINT.NS,,""""","
BAFNAPH,"""BAFNAPH.NS"",",500439,500825,BRITANNIA.NS,,""""","
BAGFILMS,"""BAGFILMS.NS"",",500440,500830,COLPAL.NS,,""""","
BAIDFIN,"""BAIDFIN.NS"",",500444,500840,EIHOTEL.NS,,""""","
BAJAJ-AUTO,"""BAJAJ-AUTO.NS"",",500449,500850,INDHOTEL.NS,500449,"""500449"","
BAJAJCON,"""BAJAJCON.NS"",",500450,500870,CASTROLIND.NS,500450,"""500450"","
BAJAJELEC,"""BAJAJELEC.NS"",",500456,500875,ITC.NS,,""""","
BAJAJFINSV,"""BAJAJFINSV.NS"",",500458,500877,APOLLOTYRE.NS,500458,"""500458"","
BAJAJHCARE,"""BAJAJHCARE.NS"",",500459,500878,CEATLTD.NS,,""""","
BAJAJHFL,"""BAJAJHFL.NS"",",500460,500890,MODIRUBBER.NS,,""""","
BAJAJHIND,"""BAJAJHIND.NS"",",500463,500940,FINPIPE.NS,,""""","
BAJAJHLDNG,"""BAJAJHLDNG.NS"",",500464,501150,CENTRUM.NS,,""""","
BAJAJINDEF,"""BAJAJINDEF.NS"",",500467,501242,TCIFINANCE.NS,,""""","
BAJEL,"""BAJEL.NS"",",500469,501295,IITL.NS,,""""","
BAJFINANCE,"""BAJFINANCE.NS"",",500470,501301,TATAINVEST.NS,,""""","
BALAJEE,"""BALAJEE.NS"",",500472,501343,MOTOGENFIN.NS,,""""","
BALAJITELE,"""BALAJITELE.NS"",",500477,501423,SHAILY.NS,,""""","
BALAMINES,"""BALAMINES.NS"",",500480,501425,BBTC.NS,,""""","
BALAXI,"""BALAXI.NS"",",500483,501455,GREAVESCOT.NS,,""""","
BALKRISHNA,"""BALKRISHNA.NS"",",500488,501831,COASTCORP.NS,,""""","
BALKRISIND,"""BALKRISIND.NS"",",500490,502090,SAGCEM.NS,,""""","
BALMLAWRIE,"""BALMLAWRIE.NS"",",500493,502137,DECCANCE.NS,,""""","
BALPHARMA,"""BALPHARMA.NS"",",500495,502157,MANGLMCEM.NS,,""""","
BALRAMCHIN,"""BALRAMCHIN.NS"",",500500,502168,NCLIND.NS,,""""","
BALUFORGE,"""BALUFORGE.NS"",",500510,502175,SAURASHCEM.NS,,""""","
BANARBEADS,"""BANARBEADS.NS"",",500520,502180,SHREDIGCEM.NS,,""""","
BANARISUG,"""BANARISUG.NS"",",500530,502219,BORORENEW.NS,,""""","
BANCOINDIA,"""BANCOINDIA.NS"",",500540,502330,ANDHRAPAP.NS,,""""","
BANDHANBNK,"""BANDHANBNK.NS"",",500547,502355,BALKRISIND.NS,,""""","
BANG,"""BANG.NS"",",500550,502420,ORIENTPPR.NS,,""""","
BANKA,"""BANKA.NS"",",500570,502448,ROLLT.NS,,""""","
BANKBARODA,"""BANKBARODA.NS"",",500575,502450,SESHAPAPER.NS,,""""","
BANKINDIA,"""BANKINDIA.NS"",",500620,502820,DCM.NS,,""""","
BANSALWIRE,"""BANSALWIRE.NS"",",500645,502937,KESORAMIND.NS,,""""","
BANSWRAS,"""BANSWRAS.NS"",",500650,502986,VTL.NS,,""""","
BARBEQUE,"""BARBEQUE.NS"",",500655,503031,PENINLAND.NS,,""""","
BASF,"""BASF.NS"",",500660,503100,PHOENIXLTD.NS,,""""","
BASML,"""BASML.NS"",",500670,503101,MARATHON.NS,,""""","
BATAINDIA,"""BATAINDIA.NS"",",500672,503162,RELCHEMQ.NS,500672,"""500672"","
BAYERCROP,"""BAYERCROP.NS"",",500674,503169,RUBYMILLS.NS,,""""","
BBL,"""BBL.NS"",",500680,503310,SWANENERGY.NS,,""""","
BBOX,"""BBOX.NS"",",500690,503722,BANSWRAS.NS,,""""","
BBTC,"""BBTC.NS"",",500696,503806,SRF.NS,,""""","
BBTCL,"""BBTCL.NS"",",500710,503811,SIYSIL.NS,,""""","
BCLIND,"""BCLIND.NS"",",500730,503960,BBL.NS,,""""","
BCONCEPTS,"""BCONCEPTS.NS"",",500770,504036,HIRECT.NS,,""""","
BDL,"""BDL.NS"",",500777,504058,NIPPOBATRY.NS,,""""","
BEARDSELL,"""BEARDSELL.NS"",",500780,504067,ZENSARTECH.NS,,""""","
BECTORFOOD,"""BECTORFOOD.NS"",",500790,504112,NELCO.NS,,""""","
BEDMUTHA,"""BEDMUTHA.NS"",",500800,504212,UNIVCABLES.NS,,""""","
BEL,"""BEL.NS"",",500820,504220,WSI.NS,,""""","
BELRISE,"""BELRISE.NS"",",500825,504286,DELTAMAGNT.NS,,""""","
BEML,"""BEML.NS"",",500830,504341,RELTD.NS,,""""","
BEPL,"""BEPL.NS"",",500840,504614,SARDAEN.NS,,""""","
BERGEPAINT,"""BERGEPAINT.NS"",",500850,504741,INDIANHUME.NS,,""""","
BESTAGRO,"""BESTAGRO.NS"",",500870,504879,ORIENTCER.NS,,""""","
BFINVEST,"""BFINVEST.NS"",",500875,504918,SANDUMA.NS,,""""","
BFUTILITIE,"""BFUTILITIE.NS"",",500877,504973,CHOLAHLDNG.NS,,""""","
BGRENERGY,"""BGRENERGY.NS"",",500878,505010,AUTOAXLES.NS,,""""","
BHAGCHEM,"""BHAGCHEM.NS"",",500890,505029,ATLASCYCLE.NS,,""""","
BHAGERIA,"""BHAGERIA.NS"",",500940,505075,SETCO.NS,,""""","
BHAGYANGR,"""BHAGYANGR.NS"",",501144,505160,TALBROAUTO.NS,501144,"""501144"","
BHANDARI,"""BHANDARI.NS"",",501148,505192,SMLISUZU.NS,501148,"""501148"","
BHARATFORG,"""BHARATFORG.NS"",",501150,505196,TIL.NS,,""""","
BHARATGEAR,"""BHARATGEAR.NS"",",501151,505200,EICHERMOT.NS,501151,"""501151"","
BHARATRAS,"""BHARATRAS.NS"",",501242,505242,DYNAMATECH.NS,,""""","
BHARATSE,"""BHARATSE.NS"",",501295,505255,GMMPFAUDLR.NS,,""""","
BHARATWIRE,"""BHARATWIRE.NS"",",501298,505283,KIRLPNU.NS,501298,"""501298"","
BHARTIARTL,"""BHARTIARTL.NS"",",501301,505324,MANUGRAPH.NS,,""""","
BHARTIHEXA,"""BHARTIHEXA.NS"",",501311,505355,NESCO.NS,501311,"""501311"","
BHEL,"""BHEL.NS"",",501314,505368,SEMAC.NS,501314,"""501314"","
BIGBLOC,"""BIGBLOC.NS"",",501343,505400,TEXINFRA.NS,,""""","
BIKAJI,"""BIKAJI.NS"",",501351,505412,WENDT.NS,501351,"""501351"","
BIL,"""BIL.NS"",",501370,505509,RESPONIND.NS,501370,"""501370"","
BINANIIND,"""BINANIIND.NS"",",501391,505526,DOLATALGO.NS,501391,"""501391"","
BIOCON,"""BIOCON.NS"",",501421,505533,WESTLIFE.NS,501421,"""501421"","
BIOFILCHEM,"""BIOFILCHEM.NS"",",501423,505537,ZEEL.NS,,""""","
BIRLACABLE,"""BIRLACABLE.NS"",",501425,505590,SVPGLOB.NS,,""""","
BIRLACORPN,"""BIRLACORPN.NS"",",501430,505688,BHARATGEAR.NS,501430,"""501430"","
BIRLAMONEY,"""BIRLAMONEY.NS"",",501455,505700,ELECON.NS,,""""","
BIRLANU,"""BIRLANU.NS"",",501477,505714,GABRIEL.NS,501477,"""501477"","
BLACKBUCK,"""BLACKBUCK.NS"",",501622,505720,HERCULES.NS,501622,"""501622"","
BLAL,"""BLAL.NS"",",501700,505726,IFBIND.NS,501700,"""501700"","
BLBLIMITED,"""BLBLIMITED.NS"",",501831,505744,FMGOETZE.NS,,""""","
BLISSGVS,"""BLISSGVS.NS"",",501833,505790,SCHAEFFLER.NS,501833,"""501833"","
BLKASHYAP,"""BLKASHYAP.NS"",",501848,505800,RANEHOLDIN.NS,501848,"""501848"","
BLS,"""BLS.NS"",",502015,505850,MANCREDIT.NS,502015,"""502015"","
BLSE,"""BLSE.NS"",",502090,505854,TRF.NS,,""""","
BLUECOAST,"""BLUECOAST.NS"",",502133,506022,PRAKASH.NS,502133,"""502133"","
BLUEDART,"""BLUEDART.NS"",",502137,506074,ARSHIYA.NS,,""""","
BLUEJET,"""BLUEJET.NS"",",502157,506076,GRINDWELL.NS,,""""","
BLUESTARCO,"""BLUESTARCO.NS"",",502168,506079,LAKPRE.NS,,""""","
BLUSPRING,"""BLUSPRING.NS"",",502175,506109,GENESYS.NS,,""""","
BODALCHEM,"""BODALCHEM.NS"",",502180,506146,VIVIDHA.NS,,""""","
BOHRAIND,"""BOHRAIND.NS"",",502219,506184,KANANIIND.NS,,""""","
